type,Concat,Lat Source,Long Source,Lat Dest ,Long Dest ,Source,Dest ,Ready Time,Load
Shipment,MotherHub_PUNE-AhmedNagarHub_AHN,18.6087917,73.7268817,19.120066,74.748246,MotherHub_PUNE,AhmedNagarHub_AHN,0,431
Shipment,MotherHub_PUNE-AkolaHub_AKD,18.6087917,73.7268817,20.6881142,77.0033407,MotherHub_PUNE,AkolaHub_AKD,0,245
Shipment,MotherHub_PUNE-AmravatiHub_AMI,18.6087917,73.7268817,20.9246248,77.7514448,MotherHub_PUNE,AmravatiHub_AMI,0,428
Shipment,MotherHub_PUNE-AurangabadHub_IXU,18.6087917,73.7268817,19.8668866,75.3479589,MotherHub_PUNE,AurangabadHub_IXU,0,515
Shipment,MotherHub_PUNE-BaramatiHub_BRM,18.6087917,73.7268817,18.1803202,74.6079639,MotherHub_PUNE,BaramatiHub_BRM,0,235
Shipment,MotherHub_PUNE-BeedHub_BED,18.6087917,73.7268817,18.9861908,75.7443401,MotherHub_PUNE,BeedHub_BED,0,192
Shipment,MotherHub_PUNE-CornerRoadHub_IXU,18.6087917,73.7268817,19.884946,75.318143,MotherHub_PUNE,CornerRoadHub_IXU,0,1020
Shipment,MotherHub_PUNE-IchalkaranjiHub_KHL,18.6087917,73.7268817,16.687849,74.473834,MotherHub_PUNE,IchalkaranjiHub_KHL,0,248
Shipment,MotherHub_PUNE-IslampurHub_SNG,18.6087917,73.7268817,17.0598366,74.2367963,MotherHub_PUNE,IslampurHub_SNG,0,195
Shipment,MotherHub_PUNE-JalnaHub_JLN,18.6087917,73.7268817,19.8236752,75.8799406,MotherHub_PUNE,JalnaHub_JLN,0,203
Shipment,MotherHub_PUNE-KaradHub_KRD,18.6087917,73.7268817,17.2808646,74.1723004,MotherHub_PUNE,KaradHub_KRD,0,207
Shipment,MotherHub_PUNE-KolhapurHub_KHL,18.6087917,73.7268817,16.700753,74.2376312,MotherHub_PUNE,KolhapurHub_KHL,0,629
Shipment,MotherHub_PUNE-LaturHub_LTU,18.6087917,73.7268817,18.3838654,76.5680813,MotherHub_PUNE,LaturHub_LTU,0,389
Shipment,MotherHub_PUNE-NandedHub_NDC,18.6087917,73.7268817,19.1574438,77.3097367,MotherHub_PUNE,NandedHub_NDC,0,483
Shipment,MotherHub_PUNE-SangliHub_SNG,18.6087917,73.7268817,16.8614942,74.569716,MotherHub_PUNE,SangliHub_SNG,0,561
Shipment,MotherHub_PUNE-SataraHub_STR,18.6087917,73.7268817,17.7143153,74.0257892,MotherHub_PUNE,SataraHub_STR,0,284
Shipment,MotherHub_PUNE-SolapurHub_SSE,18.6087917,73.7268817,17.6529454,75.9116644,MotherHub_PUNE,SolapurHub_SSE,0,546
Shipment,MotherHub_PUNE-TrimurtiNagarHub_NAG,18.6087917,73.7268817,21.1266402,79.0613126,MotherHub_PUNE,TrimurtiNagarHub_NAG,0,814
Shipment,MotherHub_PUNE-WadiHub_NAG,18.6087917,73.7268817,19.1217492,73.1442403,MotherHub_PUNE,WadiHub_NAG,0,549
Shipment,MotherHub_PUNE-WardhamanNagar_NAG,18.6087917,73.7268817,21.1499533,79.1320322,MotherHub_PUNE,WardhamanNagar_NAG,0,880
