key,src_lat,src_long,dest_lat,dest_long,arr_time,Final Rate
MOTHERHUB_PTI-MOTHERHUB_KOL-Non NDD-17400,28.294166,76.855804,22.708183,88.28565,17400,47.5
MOTHERHUB_PTI-MOTHERHUB_KOL-Non NDD-22200,28.294166,76.855804,22.708183,88.28565,22200,47.5
MOTHERHUB_PTI-MOTHERHUB_KOL-Non NDD-25200,28.294166,76.855804,22.708183,88.28565,25200,47.5
MOTHERHUB_PTI-MOTHERHUB_KOL-Non NDD-25800,28.294166,76.855804,22.708183,88.28565,25800,47.5
MOTHERHUB_PTI-MOTHERHUB_KOL-Non NDD-30000,28.294166,76.855804,22.708183,88.28565,30000,47.5
MOTHERHUB_PTI-MOTHERHUB_KOL-Non NDD-35700,28.294166,76.855804,22.708183,88.28565,35700,47.5
MOTHERHUB_PTI-MOTHERHUB_KOL-Non NDD-44100,28.294166,76.855804,22.708183,88.28565,44100,47.5
MOTHERHUB_PTI-MOTHERHUB_KOL-Non NDD-49200,28.294166,76.855804,22.708183,88.28565,49200,47.5
MOTHERHUB_PTI-MOTHERHUB_KOL-Non NDD-54600,28.294166,76.855804,22.708183,88.28565,54600,47.5
MOTHERHUB_PTI-MOTHERHUB_KOL-Non NDD-60300,28.294166,76.855804,22.708183,88.28565,60300,47.5
MOTHERHUB_PTI-MOTHERHUB_KOL-Non NDD-63000,28.294166,76.855804,22.708183,88.28565,63000,47.5
MOTHERHUB_PTI-MOTHERHUB_KOL-Non NDD-70800,28.294166,76.855804,22.708183,88.28565,70800,47.5
MOTHERHUB_PTI-MOTHERHUB_KOL-Non NDD-74400,28.294166,76.855804,22.708183,88.28565,74400,47.5
MOTHERHUB_PTI-MOTHERHUB_KOL-Non NDD-77100,28.294166,76.855804,22.708183,88.28565,77100,47.5
MOTHERHUB_KOL-MOTHERHUB_MED-Non NDD-21600,22.708183,88.28565,17.580519,78.469527,21600,41.8
MOTHERHUB_KOL-MOTHERHUB_MED-Non NDD-55800,22.708183,88.28565,17.580519,78.469527,55800,41.8
MOTHERHUB_KOL-MOTHERHUB_MED-Non NDD-55800,22.708183,88.28565,17.580519,78.469527,55800,41.8
MOTHERHUB_KOL-MOTHERHUB_MED-Non NDD-67200,22.708183,88.28565,17.580519,78.469527,67200,41.8
MOTHERHUB_KOL-MOTHERHUB_MED-Non NDD-72600,22.708183,88.28565,17.580519,78.469527,72600,41.8
MOTHERHUB_PTI-MOTHERHUB_MED-NDD-18600,28.294166,76.855804,17.580519,78.469527,18600,99
MOTHERHUB_PTI-MotherHub_BLR-NDD-19200,28.294166,76.855804,12.9842798,77.8242648,19200,99
MOTHERHUB_PTI-MOTHERHUB_AMD-NDD-24000,28.294166,76.855804,22.8978044,72.5902141,24000,99
MotherHub_BLR-MOTHERHUB_AMD-NDD-9900,12.9842798,77.8242648,22.8978044,72.5902141,9900,97.95
MotherHub_BLR-MOTHERHUB_JAI-NDD-22200,12.9842798,77.8242648,26.948928,75.761927,22200,97.95
MotherHub_BLR-MOTHERHUB_KOL-NDD-22500,12.9842798,77.8242648,22.708183,88.28565,22500,97.95
MotherHub_BLR-MOTHERHUB_AMD-NDD-19800,12.9842798,77.8242648,22.8978044,72.5902141,19800,97.95
MotherHub_BLR-MOTHERHUB_KOL-NDD-19800,12.9842798,77.8242648,22.708183,88.28565,19800,97.95
