Type,Key,src_lat,src_long,dest_lat,dest_long,Facility,assigned_hub_name,Ready_time,Load,Distance,Time,Ready_Time_10,Del_time_10,Ready_Time_11,Del_time_11,Ready_Time_12,Del_time_12,Ready_Time_1,Del_time_1,Ready_Time_2,Del_time_2,Ready_Time_2,Del_time_2
Shipment,CochinTCHub_KAM-AlleppeyHub_ALP,10.0435449,76.3367287,9.4837391,76.3284354,CochinTCHub_KAM,AlleppeyHub_ALP,10,920,66.3,1.6575,79200,126000,82800,126000,86400,126000,90000,126000,93600,212400,97200,126000
Shipment,CochinTCHub_KAM-AluvaHub_ALU,10.0435449,76.3367287,10.111613,76.373885,CochinTCHub_KAM,AluvaHub_ALU,10,1277,13.4,0.335,79200,126000,82800,126000,86400,126000,90000,126000,93600,212400,97200,126000
Shipment,CochinTCHub_KAM-ErnakulamHub_COK,10.0435449,76.3367287,9.999502,76.348626,CochinTCHub_KAM,ErnakulamHub_COK,10,939,8.1,0.2025,79200,126000,82800,126000,86400,126000,90000,126000,93600,212400,97200,126000
Shipment,CochinTCHub_KAM-IrinjalakudaHub_IJK,10.0435449,76.3367287,10.344324,76.249005,CochinTCHub_KAM,IrinjalakudaHub_IJK,10,681,48.9,1.2225,79200,126000,82800,126000,86400,126000,90000,126000,93600,212400,97200,126000
Shipment,CochinTCHub_KAM-KayamkulamHub_KKM,10.0435449,76.3367287,9.208077,76.515012,CochinTCHub_KAM,KayamkulamHub_KKM,10,512,110,2.75,79200,126000,82800,126000,86400,126000,90000,126000,93600,212400,97200,126000
Shipment,CochinTCHub_KAM-KochiHub_COK,10.0435449,76.3367287,9.984803,76.29502,CochinTCHub_KAM,KochiHub_COK,10,1351,12.1,0.3025,79200,126000,82800,126000,86400,126000,90000,126000,93600,212400,97200,126000
Shipment,CochinTCHub_KAM-KollamHub_QLN,10.0435449,76.3367287,8.879079,76.608681,CochinTCHub_KAM,KollamHub_QLN,10,1201,150,3.75,79200,126000,82800,126000,86400,126000,90000,126000,93600,212400,97200,126000
Shipment,CochinTCHub_KAM-KottayamHub_KTY,10.0435449,76.3367287,9.587114,76.5235,CochinTCHub_KAM,KottayamHub_KTY,10,880,71,1.775,79200,126000,82800,126000,86400,126000,90000,126000,93600,212400,97200,126000
Shipment,CochinTCHub_KAM-PalaHub_PLA,10.0435449,76.3367287,9.702529,76.664169,CochinTCHub_KAM,PalaHub_PLA,10,715,69.6,1.74,79200,126000,82800,126000,86400,126000,90000,126000,93600,212400,97200,126000
Shipment,CochinTCHub_KAM-ThodupuzhaHub_THP,10.0435449,76.3367287,9.89941,76.71859,CochinTCHub_KAM,ThodupuzhaHub_THP,10,907,53.4,1.335,79200,126000,82800,126000,86400,126000,90000,126000,93600,212400,97200,126000
Shipment,CochinTCHub_KAM-TiruvallaHub_TIR,10.0435449,76.3367287,9.3678185,76.5419499,CochinTCHub_KAM,TiruvallaHub_TIR,10,1136,97.2,2.43,79200,126000,82800,126000,86400,126000,90000,126000,93600,212400,97200,126000
Shipment,CochinTCHub_KAM-TripunithuraHub_TRT,10.0435449,76.3367287,9.9347282,76.337804,CochinTCHub_KAM,TripunithuraHub_TRT,10,592,17.5,0.4375,79200,126000,82800,126000,86400,126000,90000,126000,93600,212400,97200,126000
Shipment,CochinTCHub_KAM-TrissurHub_TCR,10.0435449,76.3367287,10.344324,76.249005,CochinTCHub_KAM,TrissurHub_TCR,10,1030,48.9,1.2225,79200,126000,82800,126000,86400,126000,90000,126000,93600,212400,97200,126000
Shipment,CochinTCHub_KAM-TrivandrumHub_TRV,10.0435449,76.3367287,8.8741725,76.6123883,CochinTCHub_KAM,TrivandrumHub_TRV,10,2372,150,3.75,79200,126000,82800,126000,86400,126000,90000,126000,93600,212400,97200,126000
