id,hop_seq,Act_time,c,fleet_size,vehicle_start,min_del_time
1,MotherHub_BNL,81906,5,22,81906,
1,DharuheraHub_DRH,84799,5,22,81906,84799
1,RewariHub_RWR,87482,5,22,81906,87482
1,NarnaulHub_NNL,94248,5,22,81906,94248
1,MotherHub_JAI,109963,5,22,81906,109963
2,MotherHub_BNL,81571,6,17,81571,
2,RohtakHub_ROH,90232,6,17,81571,90232
2,JindHub_JND,91591,6,17,81571,91591
2,BhiwaniHub_DEL,97304,6,17,81571,97304
2,HissarMPHub_HSS,104186,6,17,81571,104186
2,HissarHub_HSS,105378,6,17,81571,105378
3,MotherHub_BNL,82182,8,17,82182,
3,SonepatHub_SOP,91764,8,17,82182,91764
3,SonepatMPHub_SOP,92668,8,17,82182,92668
3,PanipatMPHub_PNI,98670,8,17,82182,98670
3,PanipatHub_PPT,99757,8,17,82182,99757
3,KarnalHub_KAL,104275,8,17,82182,104275
3,YamunaNagarHub_YNR,111306,8,17,82182,111306
3,SaharanpurHub_SHP,115660,8,17,82182,115660
4,MotherHub_BNL,81175,5,17,81175,
4,SangrurHub_SNR,107990,5,17,81175,107990
4,BarabankiHub_BBK,108956,5,17,81175,108956
4,LudhianaHub_LUH,118051,5,17,81175,118051
4,LudhianaMPHub_LUH,119015,5,17,81175,119015
5,MotherHub_BNL,81889,7,17,81889,
5,PalwalHub_PLW,88030,7,17,81889,88030
5,AligarhMPHub_ALG,96993,7,17,81889,96993
5,AligarhHub_ALG,98168,7,17,81889,98168
5,BareillyMPHub_BRY,115096,7,17,81889,115096
5,BareillyHub_BRY,116242,7,17,81889,116242
5,MotherHub_LKO,142541,7,17,81889,142541
6,MotherHub_BNL,81548,6,17,81548,
6,MeerutHub_MEE,87782,6,17,81548,87782
6,MeerutMPHub_MEE,88713,6,17,81548,88713
6,MoradabadMPHub_MRD,105491,6,17,81548,105491
6,MoradabadHub_MRD,106675,6,17,81548,106675
6,RudrapurHub_RDP,115106,6,17,81548,115106
7,MotherHub_BNL,80332,4,17,80332,
7,SirsaHub_SRS,105971,4,17,80332,105971
7,AboharHub_ABH,118242,4,17,80332,118242
7,JaunpurHub_JNP,119200,4,17,80332,119200
8,MotherHub_BNL,82306,7,19,82306,
8,KurukshetraHub_KUR,103436,7,19,82306,103436
8,PanchkulaMPHub_PNK,112835,7,19,82306,112835
8,PanchkulaHub_PKL,114078,7,19,82306,114078
8,ChandigarhHub_DEL,115852,7,19,82306,115852
8,ChandigarhMPHub_IXC,116785,7,19,82306,116785
8,MohaliHub_IXC,119196,7,19,82306,119196
9,MotherHub_BNL,81548,5,19,81548,
9,MuzaffarnagarHub_MFN,99069,5,19,81548,99069
9,RoorkeeHub_HRD,105017,5,19,81548,105017
9,HaridwarHub_HRD,109307,5,19,81548,109307
9,DehradunHub_DED,115511,5,19,81548,115511
10,MotherHub_BNL,81563,2,24,81563,
10,MotherHub_LKO,135688,2,24,81563,135688
11,MotherHub_BNL,81563,2,24,81563,
11,MotherHub_LKO,135688,2,24,81563,135688
12,MotherHub_BNL,81563,2,24,81563,
12,MotherHub_JAI,106635,2,24,81563,106635
13,MotherHub_BNL,81563,2,24,81563,
13,MotherHub_JAI,106635,2,24,81563,106635
14,MotherHub_BNL,79906,3,14,79906,
14,BarnalaHub_BRN,109492,3,14,79906,109492
14,KotkapuraHub_KKP,118275,3,14,79906,118275
15,MotherHub_BNL,79849,2,14,79849,
15,JalandharHub_JLR,119613,2,14,79849,119613
16,MotherHub_BNL,79638,2,14,79638,
16,JhansiHub_JHS,119580,2,14,79638,119580
17,MotherHub_BNL,80396,4,14,80396,
17,FatehabadHub_FHB,102383,4,14,80396,102383
17,BhatindaHub_BUP,113051,4,14,80396,113051
17,MuktsarHub_MKT,119714,4,14,80396,119714
18,MotherHub_BNL,80386,4,14,80386,
18,PhagwaraHub_PGR,118093,4,14,80386,118093
18,HoshiarpurHub_HAP,123234,4,14,80386,123234
18,PathankotHub_PHT,133652,4,14,80386,133652
19,MotherHub_BNL,80355,3,14,80355,
19,AmritsarHub_ATQ,127085,3,14,80355,127085
19,GurdaspurHub_GDS,135229,3,14,80355,135229
20,MotherHub_BNL,80673,4,14,80673,
20,MathuraHub_MTH,94539,4,14,80673,94539
20,AgraMPHub_AGR,100349,4,14,80673,100349
20,AgraHub_AGR,101580,4,14,80673,101580
21,MotherHub_BNL,81025,5,14,81025,
21,KaithalHub_KTL,102377,5,14,81025,102377
21,PatialaHub_PTA,108249,5,14,81025,108249
21,GobindgarhHub_LUH,113353,5,14,81025,113353
21,RupnagarHub_RUP,118479,5,14,81025,118479
22,MotherHub_BNL,79924,3,14,79924,
22,JalandharMPHub_JLR,119393,3,14,79924,119393
22,DasuaHub_DSU,126357,3,14,79924,126357
23,MotherHub_BNL,80941,5,14,80941,
23,FirozabadMPHub_FIR,103073,5,14,80941,103073
23,FirozabadHub_FIR,104073,5,14,80941,104073
23,GwaliorMPHub_GWL,116741,5,14,80941,116741
23,CityCenterHub_GWL,183075,5,14,80941,183075
