Type,Key,src_lat,src_long,dest_lat,dest_long,MH,DH,Ready_time,Load,dist,time,Ready_Time_10,Del_time_10,Ready_Time_11,Del_time_11,Ready_Time_12,Del_time_12,Ready_Time_1,Del_time_1,Ready_Time_2,Del_time_2,Ready_Time_3,Del_time_3
Shipment,Motherhub_Pune-AhmedNagarHub_AHN,18.6087917,73.7268817,19.120066,74.748246,Motherhub_Pune,AhmedNagarHub_AHN,10,569,144,3.6,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000
Shipment,Motherhub_Pune-AkolaHub_AKD,18.6087917,73.7268817,20.6881142,77.0033407,Motherhub_Pune,AkolaHub_AKD,10,337,500,12.5,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400
Shipment,Motherhub_Pune-AmravatiHub_AMI,18.6087917,73.7268817,20.9246248,77.7514448,Motherhub_Pune,AmravatiHub_AMI,10,475,574,14.35,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400
Shipment,Motherhub_Pune-AurangabadHub_IXU,18.6087917,73.7268817,19.8668866,75.3479589,Motherhub_Pune,AurangabadHub_IXU,10,579,256,6.4,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000
Shipment,Motherhub_Pune-BaramatiHub_BRM,18.6087917,73.7268817,18.1803202,74.6079639,Motherhub_Pune,BaramatiHub_BRM,10,314,126,3.15,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000
Shipment,Motherhub_Pune-BeedHub_BED,18.6087917,73.7268817,18.9861908,75.7443401,Motherhub_Pune,BeedHub_BED,10,238,268,6.7,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000
Shipment,Motherhub_Pune-CornerRoadHub_IXU,18.6087917,73.7268817,19.884946,75.318143,Motherhub_Pune,CornerRoadHub_IXU,10,1136,252,6.3,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000
Shipment,Motherhub_Pune-IchalkaranjiHub_KHL,18.6087917,73.7268817,16.687849,74.473834,Motherhub_Pune,IchalkaranjiHub_KHL,10,309,256,6.4,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000
Shipment,Motherhub_Pune-IslampurHub_SNG,18.6087917,73.7268817,26.2546,88.1974,Motherhub_Pune,IslampurHub_SNG,10,233,2317,57.925,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400
Shipment,Motherhub_Pune-JalnaHub_JLN,18.6087917,73.7268817,19.8236752,75.8799406,Motherhub_Pune,JalnaHub_JLN,10,241,314,7.85,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,104400,126000
Shipment,Motherhub_Pune-KaradHub_KRD,18.6087917,73.7268817,17.2808646,74.1723004,Motherhub_Pune,KaradHub_KRD,10,353,176,4.4,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000
Shipment,Motherhub_Pune-KolhapurHub_KHL,18.6087917,73.7268817,16.700753,74.2376312,Motherhub_Pune,KolhapurHub_KHL,10,799,249,6.225,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000
Shipment,Motherhub_Pune-KopargaonHub_KPG,18.6087917,73.7268817,19.8917,74.4791,Motherhub_Pune,KopargaonHub_KPG,10,31,192,4.8,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000
Shipment,Motherhub_Pune-LaturHub_LTU,18.6087917,73.7268817,18.3838654,76.5680813,Motherhub_Pune,LaturHub_LTU,10,530,352,8.8,79200,126000,82800,126000,86400,126000,90000,126000,104400,212400,104400,212400
Shipment,Motherhub_Pune-NandedHub_NDC,18.6087917,73.7268817,19.1574438,77.3097367,Motherhub_Pune,NandedHub_NDC,10,615,461,11.525,79200,126000,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400
Shipment,Motherhub_Pune-OsmanabadHub_OMB,18.6087917,73.7268817,18.207,76.1784,Motherhub_Pune,OsmanabadHub_OMB,10,58,299,7.475,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,104400,126000
Shipment,Motherhub_Pune-ParbhaniHub_PBN,18.6087917,73.7268817,19.261,76.7767,Motherhub_Pune,ParbhaniHub_PBN,10,87,392,9.8,79200,126000,82800,126000,86400,126000,104400,212400,104400,212400,104400,212400
Shipment,Motherhub_Pune-SangliHub_SNG,18.6087917,73.7268817,16.8614942,74.569716,Motherhub_Pune,SangliHub_SNG,10,738,246,6.15,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000
Shipment,Motherhub_Pune-SataraHub_STR,18.6087917,73.7268817,17.7143153,74.0257892,Motherhub_Pune,SataraHub_STR,10,416,123,3.075,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000
Shipment,Motherhub_Pune-SolapurHub_SSE,18.6087917,73.7268817,17.6529454,75.9116644,Motherhub_Pune,SolapurHub_SSE,10,697,274,6.85,79200,126000,82800,126000,86400,126000,90000,126000,93600,126000,97200,126000
Shipment,Motherhub_Pune-TrimurtiNagarHub_NAG,18.6087917,73.7268817,21.1266402,79.0613126,Motherhub_Pune,TrimurtiNagarHub_NAG,10,1260,728,18.2,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400
Shipment,Motherhub_Pune-WadiHub_NAG,18.6087917,73.7268817,17.0624,76.9816,Motherhub_Pune,WadiHub_NAG,10,705,439,10.975,79200,126000,82800,126000,104400,126000,104400,212400,104400,212400,104400,212400
Shipment,Motherhub_Pune-WardhamanNagar_NAG,18.6087917,73.7268817,21.15,79.1376,Motherhub_Pune,WardhamanNagar_NAG,10,953,734,18.35,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400,104400,212400
